"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-203.458789430607,1.74145584122042,-116.832586055138,1.88714456647041e-41
"share_impervious_100",-3.72737810095687,0.661041756793728,-5.63864243468657,3.84264459656862e-06
"mean_UHI_100",-89.4271752592676,0.95187574068275,-93.9483710291055,1.2837733176538e-38
"Mean_local_UHI_total",-81.3253365198147,0.756877696343255,-107.448451596244,2.31311666184108e-40
"Mean_veg_height",32.6837663907718,0.40224678332106,81.2530211451927,9.83518161082445e-37
"Mean_veg_herb",-51.6234154813565,0.503652496140029,-102.498083255808,9.48663502318232e-40
"(Intercept)1",2.20914174220585,0.312190436011722,7.07626335523904,7.21746365473148e-08
"share_impervious_1001",-0.112563264966707,0.353718546596233,-0.318228337331707,0.752516539264532
"mean_UHI_1001",-0.194070989826895,0.351741089610267,-0.551743869452181,0.585210749092654
"Mean_local_UHI_total1",-0.608607364637346,0.352317593810477,-1.72743960372508,0.0943724165938212
"Mean_veg_height1",-0.111115756716984,0.290592272020983,-0.382376846927852,0.704877472514058
"Mean_veg_herb1",0.350379582212395,0.370527446715165,0.945623827110822,0.351895113600686
"(Intercept)2",-4.9838451986065,2.14289663318585,-2.32575156515926,0.0269795217400107
"share_impervious_1002",-0.368270955900428,0.705185787650289,-0.522232527016069,0.605343611261169
"mean_UHI_1002",1.85732144788067,0.821024473081064,2.2621998597809,0.031088755181636
"Mean_local_UHI_total2",-4.38551317402797,1.82290229040508,-2.40578619990292,0.0225073344281555
"Mean_veg_height2",-1.7312854324277,1.18584753884034,-1.45995617119614,0.15469575695087
"Mean_veg_herb2",1.89066229379845,1.46969821847836,1.28642892127605,0.208132888513633
"(Intercept)3",2.03848761455633,0.159141352189659,12.8092892671097,1.07387202378108e-13
"share_impervious_1003",-0.365084146581552,0.221456670111093,-1.64855791608539,0.109673142904649
"mean_UHI_1003",-0.236149712765121,0.197111516366347,-1.19805132200504,0.240276734911391
"Mean_local_UHI_total3",0.101674199608809,0.197842378750924,0.513915169493654,0.611076172548795
"Mean_veg_height3",-0.0708634938317131,0.158386252311097,-0.447409372958238,0.657793411269288
"Mean_veg_herb3",0.581846360434705,0.220515771492129,2.6385702777521,0.0130731701602665
"(Intercept)4",-0.298885213363666,0.513050294325795,-0.582565133807075,0.564539436406632
"share_impervious_1004",-0.111296880646705,0.483572882092509,-0.23015533907754,0.819533264775591
"mean_UHI_1004",-0.506557852877861,0.571330550961248,-0.886628331052123,0.38233172963982
"Mean_local_UHI_total4",1.09488434951401,0.607668454136337,1.80177914792391,0.0816383084397805
"Mean_veg_height4",-0.761702392919776,0.494682400785365,-1.53978065868219,0.134096422981593
"Mean_veg_herb4",0.652659250025244,0.468892583850528,1.39191634183171,0.174182001346353
"(Intercept)5",1.10381485364082,0.633146687129773,1.74337934017267,0.0915092304173375
"share_impervious_1005",0.383862948673014,0.367657701988006,1.04407699498034,0.304790336139516
"mean_UHI_1005",-1.54808056212412,0.516837191136211,-2.99529636928959,0.00545409536731761
"Mean_local_UHI_total5",-0.875486586673893,0.38891356658868,-2.25110837442146,0.031861220119103
"Mean_veg_height5",0.375703631612146,0.32205128144199,1.16659567361423,0.252563881899019
"Mean_veg_herb5",-0.534742275413431,0.29895925322329,-1.78867945931761,0.0837698658739668
"(Intercept)6",-1.80610933286662,1.11191201289938,-1.62432756541326,0.114767971005778
"share_impervious_1006",0.28765949583083,0.666304157437993,0.431723999647413,0.669029014020922
"mean_UHI_1006",-1.09774753507928,0.921966788455933,-1.190658436751,0.243124018864786
"Mean_local_UHI_total6",-1.11838435199765,0.751797701639871,-1.48761342254459,0.147289345907126
"Mean_veg_height6",0.28019159490023,0.62560127426477,0.447875678049924,0.657460615312117
"Mean_veg_herb6",-0.440747591591824,0.579863843429614,-0.760088073408777,0.453134310177878
"(Intercept)7",-1.33047434917353,2.67885403491361,-0.496658023107418,0.623050196864088
"share_impervious_1007",1.10171080545028,1.4584449585435,0.755401017362027,0.455898717769312
"mean_UHI_1007",-2.1631668495946,2.34069937962101,-0.92415406627093,0.362780252752347
"Mean_local_UHI_total7",1.17140165346143,1.95326362692461,0.59971508060373,0.553199165644807
"Mean_veg_height7",-1.6890310927877,1.80602421197111,-0.935220625278483,0.357142127044285
"Mean_veg_herb7",-0.331912489294775,0.776764961123095,-0.427301057471587,0.672211485185112
"(Intercept)8",-47.6591118719332,0.371586086263201,-128.258601798603,1.1547455169523e-42
"share_impervious_1008",11.4412415615316,0.963028879875371,11.8804760694323,7.16303904054046e-13
"mean_UHI_1008",-8.07005713171407,0.477744071955067,-16.8920089341749,7.16451190526936e-17
"Mean_local_UHI_total8",17.6186408843186,0.651827861411626,27.0295915951843,1.28064213680475e-22
"Mean_veg_height8",8.98036442171902,0.2842269472174,31.5957530052564,1.38311377109678e-24
"Mean_veg_herb8",-9.75218745114121,0.519038379142572,-18.7889524995269,3.84363404208178e-18
"(Intercept)9",1.95266107384108,0.401025412860303,4.86917040970988,3.37013986321756e-05
"share_impervious_1009",0.504056552683032,0.332777103462972,1.51469721755997,0.140315170012254
"mean_UHI_1009",-0.871716342028805,0.406266066459459,-2.14567844571827,0.0401113212231896
"Mean_local_UHI_total9",-0.22730499297903,0.303441746337104,-0.749089391037541,0.459636995982226
"Mean_veg_height9",0.838126345480953,0.367340344658387,2.28160711903393,0.0297776574840457
"Mean_veg_herb9",-0.407779102110783,0.303656189767837,-1.34289738148448,0.189377840094113
"(Intercept)10",2.88663089931105,0.16395475585404,17.6062651203657,2.30953081278493e-17
"share_impervious_10010",-0.192707737955923,0.216155428221614,-0.891523935074854,0.379743175088294
"mean_UHI_10010",0.202881626952273,0.205818900122604,0.985728846240159,0.332149978933355
"Mean_local_UHI_total10",-0.165393794136741,0.213291680573308,-0.775434811579048,0.444152724247198
"Mean_veg_height10",-0.25336735959252,0.187282816224164,-1.35285962001585,0.186209084051757
"Mean_veg_herb10",0.430176230183899,0.226675657300538,1.89776103577611,0.067387951011374
"(Intercept)11",-1.79189752496299,0.899628457129362,-1.99181952367401,0.0555621673857788
"share_impervious_10011",-0.0442049970904154,0.474804479565508,-0.0931014743813438,0.926441935037523
"mean_UHI_10011",-0.175790175072093,0.737260071095366,-0.23843712953411,0.813163281070758
"Mean_local_UHI_total11",-1.03593490187707,0.647241386913531,-1.60053872144531,0.119958716574373
"Mean_veg_height11",0.384952802429865,0.764892526796425,0.50327698198615,0.618444938420406
"Mean_veg_herb11",-1.18389805102002,0.504772426916281,-2.34540951107928,0.0258119727903045
"(Intercept)12",-0.884906935694878,0.799051322869065,-1.10744693159075,0.276901440870251
"share_impervious_10012",1.11490027695279,0.702042141082757,1.58808170010034,0.122752996724605
"mean_UHI_10012",-0.841461756394928,0.870431423433209,-0.966718036299727,0.341414149425321
"Mean_local_UHI_total12",0.353576412798454,0.73456843884972,0.481338965981344,0.633768059355871
"Mean_veg_height12",0.248540421323031,0.782848748702578,0.317482044564725,0.753077069217177
"Mean_veg_herb12",-0.468739511990687,0.543042412264285,-0.863172933466131,0.394890904430313
"(Intercept)13",-5.61075939398331,2.86641422001617,-1.95741402439445,0.059659156514125
"share_impervious_10013",1.24014936659192,0.691163603198763,1.79429206175268,0.082850864316064
"mean_UHI_10013",-0.645870730864053,0.767303538690431,-0.841740847391856,0.406593189617604
"Mean_local_UHI_total13",0.838653549462503,0.491905662849137,1.70490728772055,0.0985481712013085
"Mean_veg_height13",4.84893329152527,2.3415140018057,2.0708538525868,0.047071626090879
"Mean_veg_herb13",-3.00065637981296,1.57306913248953,-1.90751716999503,0.066067533517941
"(Intercept)14",-1.21431081701807,0.755253631616873,-1.60781857403113,0.118350111542226
"share_impervious_10014",0.0572628931243725,0.881976385201025,0.0649256534360847,0.94866391361352
"mean_UHI_10014",-0.877776269364005,0.909286446941179,-0.96534625839506,0.342089292399725
"Mean_local_UHI_total14",0.0464920139793101,0.809109766380849,0.0574607005267889,0.954559234681957
"Mean_veg_height14",-0.0348595970053513,0.715219879541474,-0.0487396925092459,0.961449790002136
"Mean_veg_herb14",-0.172824596501244,0.642060923919564,-0.269171647210997,0.789640267215678
"(Intercept)15",-3.0544786599151,1.21407116957154,-2.51589753259116,0.0174574049142413
"share_impervious_10015",-1.56545541237829,1.10865221567305,-1.41203471228163,0.168229075982949
"mean_UHI_10015",1.44088171050313,0.737966231810831,1.95250358131899,0.0602648612838533
"Mean_local_UHI_total15",-0.671130858956348,0.896797073293593,-0.748364238624844,0.460067644603337
"Mean_veg_height15",-1.29933415794601,0.849394166333592,-1.52971872123231,0.136563588972933
"Mean_veg_herb15",1.51823832877033,1.45192825524235,1.04567035133352,0.304065880974198
"(Intercept)16",-2.09368679527072,0.672521684367751,-3.11318853196389,0.00404613210591089
"share_impervious_10016",1.00152335525135,0.284526083455939,3.5199702715707,0.00140048126191861
"mean_UHI_10016",-0.0195817451948702,0.390334618912215,-0.0501665602949609,0.960322186105998
"Mean_local_UHI_total16",0.509535329811982,0.437127226187202,1.16564537573272,0.252942121469034
"Mean_veg_height16",-2.30821359200093,0.698277962573881,-3.30557989184244,0.00246323022606003
"Mean_veg_herb16",0.411896006759653,0.456354656218629,0.902578731578284,0.37393970142492
"(Intercept)17",0.125045781802135,0.701844185807669,0.178167439911516,0.859789152439578
"share_impervious_10017",-0.590712598882758,0.644436117977203,-0.916634841537007,0.366644332428765
"mean_UHI_10017",0.682665278124691,0.524587435392296,1.30133745505014,0.203048773536197
