"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.28789518308646,0.0862290961594881,49.7267787100033,2.20173632784244e-30
"share_impervious_100",0.0994327190462964,0.119385475241347,0.832871158281902,0.411499185518001
"mean_UHI_100",-0.202403128440854,0.122695480682053,-1.64963800879798,0.109450476873913
"Mean_local_UHI_total",0.0977669684979889,0.116186114373152,0.841468612884263,0.406743220287306
"Mean_veg_height",0.280825488497632,0.109939412993055,2.554365908024,0.0159547065967325
"Mean_veg_herb",-0.171429650969618,0.104294803914314,-1.6437027017229,0.110678717316707
"(Intercept)1",1.65961962676966,0.0102555800272834,161.826012995314,1.09119996933925e-45
"share_impervious_1001",-0.0017583447102896,0.014199004164074,-0.123835776789089,0.902271299705485
"mean_UHI_1001",0.0195521040491316,0.0145926766852971,1.33985727709786,0.190353096853295
"Mean_local_UHI_total1",-0.0227184916142847,0.0138184910556071,-1.64406457426234,0.110603506194016
"Mean_veg_height1",-0.0321696358234473,0.0130755452430749,-2.46029020017234,0.0198607658219963
"Mean_veg_herb1",0.0129099749662475,0.0124042087370921,1.040773759929,0.306296057484896
"(Intercept)2",9.30064282125162,0.0146094947441164,636.616322751151,1.58408902160857e-63
"share_impervious_1002",0.0129813639728433,0.0202270643059545,0.641781910438771,0.525888593726516
"mean_UHI_1002",0.0263438937975609,0.0207878669728356,1.26727257933609,0.214807203495103
"Mean_local_UHI_total2",0.0198660688048885,0.0196850077627434,1.00919791570963,0.320950660387243
"Mean_veg_height2",-0.025609635355559,0.0186266509545983,-1.37489210583166,0.179347414959176
"Mean_veg_herb2",0.00230645680991602,0.0176703045432207,0.1305272811951,0.897020613461836
"(Intercept)3",0.599803419775646,0.0148817233901478,40.304701549065,1.09754850749156e-27
"share_impervious_1003",-0.00512926216989285,0.0206039689440439,-0.248945345618743,0.805099539072137
"mean_UHI_1003",-0.0110393057113263,0.0211752214282096,-0.521331299828572,0.605963538967569
"Mean_local_UHI_total3",0.00938232437838558,0.0200518118928129,0.467904069145416,0.643234700640604
"Mean_veg_height3",-0.0075829049140149,0.0189737340028682,-0.39965274694315,0.692243558392572
"Mean_veg_herb3",0.00646603194229892,0.0179995673387531,0.359232631574291,0.721937272975807
